iter	Accuracy	MultiClass
73	0.6204332386	0.829440484
74	0.6204818858	0.8289640531
75	0.6205513819	0.8288549706
76	0.6214756798	0.8272143482
77	0.6219135052	0.8264181386
78	0.6219830013	0.8260036467
79	0.6221428423	0.8256357938
80	0.622254036	0.8254231262
81	0.6221011446	0.825337023
82	0.6223652297	0.824929009
83	0.6224555746	0.8247321435
84	0.6231783339	0.8233306911
85	0.623727353	0.8221610938
86	0.6238385467	0.8215107376
87	0.6241026318	0.8212186881
88	0.6241929767	0.8209588279
89	0.6242068759	0.8208072527
90	0.6242624728	0.8206803699
91	0.6245335075	0.820237071
92	0.6253466117	0.819114896
93	0.6253535613	0.8188230924
94	0.6254230574	0.8187665564
95	0.6255134023	0.8186629214
96	0.6256871425	0.8184804849
97	0.6257774874	0.8182113904
98	0.6257010417	0.8176889606
99	0.6265141459	0.8165992467
100	0.6264863475	0.8164186839
101	0.6270353666	0.8152508342
102	0.6276121841	0.8145371299
103	0.6276469321	0.8139572581
104	0.6278832188	0.8137856705
105	0.6281473039	0.8132169779
106	0.6281125559	0.813046993
107	0.6281751023	0.8129038721
108	0.6287102222	0.812309723
109	0.6287449702	0.8121926133
110	0.6288700632	0.8120863571
111	0.6287241214	0.811820155
112	0.628890912	0.8115398142
113	0.6288214159	0.8114401712
114	0.6289673577	0.8112457079
115	0.62892566	0.8111245132
116	0.629690117	0.8102004642
117	0.6296762177	0.8099897846
118	0.6296206209	0.809867333
119	0.6299125044	0.8096065943
120	0.6300097989	0.8094456098
121	0.6299750509	0.8093919082
122	0.6303572794	0.8085467413
123	0.6307256086	0.8079705338
124	0.6306769614	0.8078651655
125	0.6309896937	0.8073767423
126	0.6311008875	0.8072531351
127	0.6311425851	0.8071037267
128	0.6313719222	0.8069063861
129	0.6315804104	0.8063991296
130	0.6317888987	0.806171892
131	0.6318653444	0.8058091508
132	0.6320251854	0.8056944632
133	0.6323796154	0.8051832719
134	0.6323657162	0.8049924783
135	0.6323309681	0.8046846729
136	0.6324421619	0.8044875624
137	0.6325325068	0.8042045314
138	0.6325603052	0.8040990372
139	0.6331718708	0.8034224493
140	0.6333247621	0.8027663167
141	0.6333178125	0.8025268125
142	0.6334707039	0.8023312929
143	0.6336027465	0.8021335754
144	0.6340266726	0.8019415757
145	0.634054471	0.8018268749
146	0.6340405718	0.8017631587
147	0.6342629593	0.8016358158
148	0.6343533042	0.8015029552
149	0.6345200948	0.8012506272
150	0.6344922964	0.801220307
151	0.6345895909	0.8010042758
152	0.634693835	0.8008252234
153	0.6349370713	0.8006460464
154	0.6349231721	0.8004063068
155	0.6349787689	0.8002181048
156	0.6351455595	0.8000647763
157	0.6355138888	0.7996251807
158	0.635367947	0.7995548531
159	0.6354165943	0.7994064874
160	0.6354791408	0.7992692145
161	0.6356320321	0.7991472845
162	0.6355347376	0.7990156569
163	0.6354443927	0.7989507105
164	0.6355694857	0.7988223284
165	0.6356945786	0.7987230025
166	0.6359517141	0.7984475314
167	0.636007311	0.7983053419
168	0.6360490086	0.7981526614
169	0.6361741016	0.7980931114
170	0.6362296985	0.7980077905
171	0.6362435977	0.7978618687
172	0.6362574969	0.7977706367
173	0.6361532528	0.7974425093
174	0.6362991945	0.7973287319
175	0.636361741	0.7972508657
176	0.6365076828	0.7969895685
177	0.6366119269	0.7968772437
178	0.6366397254	0.7967736311
179	0.636681423	0.7966716403
180	0.6368343144	0.7965294617
181	0.636876012	0.7964575272
182	0.6369524577	0.7963435846
183	0.6369663569	0.7962549414
184	0.6370428026	0.7961573758
185	0.6370914499	0.7960769453
186	0.6371400972	0.7956797311
187	0.6374458799	0.7952456919
188	0.6375084264	0.7951659881
189	0.6376196201	0.7949897548
190	0.6377516627	0.7948627358
191	0.6377725115	0.7947474563
192	0.6378489572	0.7946683709
193	0.6378837053	0.7946029388
194	0.6380782943	0.7944610182
195	0.6381199919	0.7943545504
196	0.6384049259	0.7938617187
197	0.6385230692	0.7937899295
198	0.6385995149	0.7936870476
199	0.6386759606	0.7933996332
200	0.6386551118	0.7933091246
201	0.6387454567	0.7932383234
202	0.638828852	0.7931557318
203	0.6388913985	0.793113333
204	0.6389539449	0.7930324372
205	0.6390651387	0.7929901558
206	0.6390790379	0.7928973332
207	0.639183282	0.7927190031
208	0.6392597277	0.7926337127
209	0.6393014254	0.7923085784
210	0.6392875261	0.792279283
211	0.6393848207	0.7922249547
212	0.6392944758	0.7920074698
213	0.6392388789	0.7919243968
214	0.6393292238	0.7918506768
215	0.6396419562	0.7914910609
216	0.6397392507	0.7911478963
217	0.6397392507	0.7911113353
218	0.6395585609	0.7910099178
219	0.6396836538	0.7909358625
220	0.6397045027	0.7908601035
221	0.6399407893	0.7906488615
222	0.639822646	0.7905150153
223	0.639857394	0.7904651677
224	0.6399616382	0.7904000376
225	0.6399199405	0.7903515333
226	0.6398851925	0.790292178
227	0.6399685878	0.7902563871
228	0.6399755374	0.7901650581
229	0.6400589327	0.7900911113
230	0.6402187737	0.7899828898
231	0.6401492776	0.789914281
232	0.6402535217	0.7895738539
233	0.6402604713	0.7895178169
234	0.6406079517	0.7892829621
235	0.64081644	0.7891195986
236	0.6409693314	0.7889493627
237	0.6410666259	0.7887941208
238	0.6411222228	0.7886161203
239	0.6410874747	0.7885749433
240	0.6411222228	0.7885188813
241	0.6411500212	0.7884398343
242	0.6411083235	0.7883474186
243	0.6411500212	0.7882572062
244	0.6413932575	0.7879047832
245	0.6413376606	0.7878636127
246	0.641490552	0.7877601113
247	0.6415600481	0.7876784634
248	0.6416364938	0.7876178888
249	0.641650393	0.7873573315
250	0.6416017457	0.7872530087
251	0.6417685363	0.7871216937
252	0.6417963348	0.7870647411
253	0.6417963348	0.7869968822
254	0.6418310828	0.7869467944
255	0.6418797301	0.7868458255
256	0.6419075285	0.786711128
257	0.6420117726	0.7864958572
258	0.6422063617	0.7864044584
259	0.6421924625	0.78633115
260	0.642324505	0.7860798174
261	0.6424426484	0.7860155818
262	0.6425538421	0.7859373644
263	0.6425816405	0.7857696106
264	0.6426580862	0.7857252785
265	0.6427275823	0.7856170115
266	0.64276928	0.785488738
267	0.6427553807	0.7854017608
268	0.642838776	0.7853760336
269	0.6428109776	0.7853005499
270	0.6428596249	0.7852751561
271	0.6429291209	0.7851533211
272	0.642838776	0.7850214697
273	0.6429708186	0.7849326911
274	0.6429916674	0.7848571299
275	0.6431167604	0.7846753004
276	0.6430820123	0.7846182494
277	0.6432001557	0.7845408394
278	0.6432766014	0.7843195286
279	0.6434572912	0.7842240438
280	0.6434016943	0.7841358741
281	0.6434294927	0.7841109888
282	0.6434920392	0.784032475
283	0.6434989888	0.783950011
284	0.6435684849	0.7839056403
285	0.6435962833	0.7838528634
286	0.6436171322	0.7838136773
287	0.6436101826	0.7837635877
288	0.6437908724	0.7836782747
289	0.6440132599	0.7835009304
290	0.6440202095	0.7834745983
291	0.6440410583	0.7834309374
292	0.6442147985	0.7833241923
293	0.6443537907	0.7832443876
294	0.6443468411	0.7830234016
295	0.6444024379	0.7829755321
296	0.6444302364	0.7828895852
297	0.6446595734	0.7828222026
298	0.6447012711	0.7827598703
299	0.6447985656	0.7826412253
300	0.6448680617	0.7825910592
301	0.6448541625	0.782486565
302	0.6449097593	0.7824362676
303	0.6449167089	0.782351532
304	0.6448958601	0.7821591929
305	0.6449584066	0.7819680595
306	0.6449097593	0.7818628626
307	0.6449792554	0.781826825
308	0.6449792554	0.7817736436
309	0.6449723058	0.7817163292
310	0.6451043484	0.7816663719
311	0.6450834995	0.7816298522
312	0.6452085925	0.7815701624
313	0.6452919878	0.7814934724
314	0.6454379296	0.7814361188
315	0.6453753831	0.7813824189
316	0.6454031815	0.7813076353
317	0.6454448792	0.7812405892
318	0.6454101311	0.7811496424
319	0.6454587784	0.7810839662
320	0.6455074257	0.7810324476
321	0.6455143753	0.7809279594
322	0.6453892823	0.7808775177
323	0.645500476	0.7807750143
324	0.6457228635	0.7806570555
325	0.6458896541	0.7806104492
326	0.6459383014	0.780545803
327	0.6459591502	0.7804897961
328	0.6458966037	0.7804380402
329	0.645945251	0.7804062877
330	0.6459522006	0.7803612825
331	0.6459869486	0.7803070561
332	0.6460564447	0.7802687658
333	0.6461467896	0.7801719241
334	0.6463344291	0.7800420988
335	0.6462579834	0.7800010364
336	0.6463135802	0.7799170365
337	0.6463622275	0.7798038812
338	0.6464386732	0.7797716623
339	0.6463552779	0.7796940944
340	0.646584615	0.7795903885
341	0.6465985142	0.7795601336
342	0.6465568165	0.7795131764
343	0.646584615	0.7795031435
344	0.6465707157	0.7794611848
345	0.6465707157	0.7794226094
346	0.6466054638	0.7793119901
347	0.6465776653	0.7792705939
348	0.6466263126	0.7792073131
349	0.6466888591	0.7791747834
350	0.6468070024	0.7791257763
351	0.6468209016	0.779085812
352	0.6468000528	0.7790398228
353	0.6467931032	0.778952818
354	0.6469251458	0.7788214914
355	0.6469876922	0.7786319927
356	0.6471266844	0.778562579
357	0.647098886	0.7783224951
358	0.6471753317	0.7782286434
359	0.6471892309	0.7781792658
360	0.6472239789	0.7781593846
361	0.6472448278	0.7781337882
362	0.6472795758	0.7780591939
363	0.6473212734	0.7779621459
364	0.6473768703	0.7778681742
365	0.6475019633	0.777809202
366	0.6475228121	0.7777439376
367	0.6475575601	0.7776875589
368	0.647613157	0.7776447135
369	0.6476965523	0.7775752129
370	0.6477521492	0.7774974149
371	0.6477174011	0.7774239275
372	0.6476965523	0.7772828502
373	0.6478216453	0.7772236194
374	0.6478633429	0.7771614432
375	0.6478633429	0.7771188731
376	0.6479884359	0.7770875426
377	0.6480162343	0.7770321087
378	0.6480231839	0.7769907814
379	0.6481065792	0.7769352313
380	0.6480301335	0.7768729751
381	0.6479119902	0.7767676949
382	0.6479467382	0.7767172356
383	0.6479814862	0.776688005
384	0.6481135288	0.776628119
